Your business revenue	Price	% out of total orders	Cost to produce, 60%	Margin, 40%								
Revenue Stream 1	 $ 25.00 	20%	 $ 15.00 	 $ 10.00 								
Revenue Stream 2	 $ 50.00 	20%	 $ 30.00 	 $ 20.00 								
Revenue Stream 3	 $ 100.00 	20%	 $ 60.00 	 $ 40.00 								
	 $ 150.00 	20%	 $ 90.00 	 $ 60.00 								
	 $ 200.00 	20%	 $ 120.00 	 $ 80.00 								
Revenue per sale, avg	 $ 105.00 											
Cost to produce, avg	 $ 63.00 											
												
Metric	Jan-26	Feb-26	Mar-26	Apil 2026	May-26	Jun-26	Jul-26	Aug-26	Sep-26	Oct-26	Nov-26	Dec-26
Number of Sales 	30	36	45	59	79	83	91	105	126	157	205	276
Sales growth MoM, %	0%	20%	25.00%	30.00%	35.00%	5.00%	10.00%	15.00%	20.00%	25.00%	30.00%	35.00%
Revenue	 $ 3,150.00 	 $ 3,780.00 	 $ 4,725.00 	 $ 6,142.50 	 $ 8,292.38 	 $ 8,706.99 	 $ 9,577.69 	 $ 11,014.35 	 $ 13,217.22 	 $ 16,521.52 	 $ 21,477.98 	 $ 28,995.27 
Total Cost to produce	 $ 1,890.00 	 $ 2,268.00 	 $ 2,835.00 	 $ 3,685.50 	 $ 4,975.43 	 $ 5,224.20 	 $ 5,746.62 	 $ 6,608.61 	 $ 7,930.33 	 $ 9,912.91 	 $ 12,886.79 	 $ 17,397.16 
Shipping costs 	 $ 300.00 	 $ 360.00 	 $ 450.00 	 $ 585.00 	 $ 789.75 	 $ 829.24 	 $ 912.16 	 $ 1,048.99 	 $ 1,258.78 	 $ 1,573.48 	 $ 2,045.52 	 $ 2,761.45 
Transaction fee, 3%	 $ 94.50 	 $ 113.40 	 $ 141.75 	 $ 184.28 	 $ 248.77 	 $ 261.21 	 $ 287.33 	 $ 330.43 	 $ 396.52 	 $ 495.65 	 $ 644.34 	 $ 869.86 
Total costs	 $ 2,284.50 	 $ 2,741.40 	 $ 3,426.75 	 $ 4,454.78 	 $ 6,013.95 	 $ 6,314.64 	 $ 6,946.11 	 $ 7,988.02 	 $ 9,585.63 	 $ 11,982.04 	 $ 15,576.65 	 $ 21,028.47 
Add more 	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Add more 	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Net Margin	27%	27%	27%	27%	27%	27%	27%	27%	27%	27%	27%	27%
Net Income	 $ 865.50 	 $ 1,038.60 	 $ 1,298.25 	 $ 1,687.73 	 $ 2,278.43 	 $ 2,392.35 	 $ 2,631.59 	 $ 3,026.32 	 $ 3,631.59 	 $ 4,539.48 	 $ 5,901.33 	 $ 7,966.80 
												
Total revenue cumulative	 $ 3,150.00 	 $ 6,930.00 	 $ 11,655.00 	 $ 17,797.50 	 $ 26,089.88 	 $ 34,796.87 	 $ 44,374.56 	 $ 55,388.91 	 $ 68,606.13 	 $ 85,127.65 	 $ 106,605.62 	 $ 135,600.89 
Total Net income cumulative	 $ 865.50 	 $ 1,904.10 	 $ 3,202.35 	 $ 4,890.08 	 $ 7,168.50 	 $ 9,560.85 	 $ 12,192.44 	 $ 15,218.76 	 $ 18,850.35 	 $ 23,389.83 	 $ 29,291.16 	 $ 37,257.96 