Adventure AI - B2B Model																					
SaaS/EdTech Partnerships																					
																					
Salaries: 																					
Title	Annual Salary	Benefits	Salary + Fringe	Date Hired 	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
CEO (Deferred)	 $ -   	20%	 $ -   	Jan-25	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Lead Developer	 $ 72,000 	20%	 $ 86,400 	Jan-25	 $ 7,200 	 $ 7,200 	 $ 7,200 	 $ 21,600 	 $ 7,200 	 $ 7,200 	 $ 7,200 	 $ 21,600 	 $ 7,200 	 $ 7,200 	 $ 7,200 	 $ 21,600 	 $ 7,200 	 $ 7,200 	 $ 7,200 	 $ 21,600 	 $ 86,400 
AI/ML Engineer	 $ 60,000 	20%	 $ 72,000 	Jan-25	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 72,000 
UI/UX Designer	 $ 30,000 	20%	 $ 36,000 	Jan-25	 $ 3,000 	 $ 3,000 	 $ 3,000 	 $ 9,000 	 $ 3,000 	 $ 3,000 	 $ 3,000 	 $ 9,000 	 $ 3,000 	 $ 3,000 	 $ 3,000 	 $ 9,000 	 $ 3,000 	 $ 3,000 	 $ 3,000 	 $ 9,000 	 $ 36,000 
Content Writer/Educator	 $ 36,000 	20%	 $ 43,200 	Jan-25	 $ 3,600 	 $ 3,600 	 $ 3,600 	 $ 10,800 	 $ 3,600 	 $ 3,600 	 $ 3,600 	 $ 10,800 	 $ 3,600 	 $ 3,600 	 $ 3,600 	 $ 10,800 	 $ 3,600 	 $ 3,600 	 $ 3,600 	 $ 10,800 	 $ 43,200 
Sales/BD Lead	 $ 60,000 	20%	 $ 72,000 	Apr-25	 $ -   	 $ -   	 $ -   	 $ -   	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 54,000 
Customer Success Manager	 $ 48,000 	20%	 $ 57,600 	Jul-25	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ 4,800 	 $ 4,800 	 $ 4,800 	 $ 14,400 	 $ 4,800 	 $ 4,800 	 $ 4,800 	 $ 14,400 	 $ 28,800 
Total Salaries:	 $ 306,000 				 $ 19,800 	 $ 19,800 	 $ 19,800 	 $ 59,400 	 $ 25,800 	 $ 25,800 	 $ 25,800 	 $ 77,400 	 $ 30,600 	 $ 30,600 	 $ 30,600 	 $ 91,800 	 $ 30,600 	 $ 30,600 	 $ 30,600 	 $ 91,800 	 $ 320,400 
Number of people in team					4	4	4	4	5	5	5	5	6	6	6	6	6	6	6	6	6
																					
																					
Infrastructure: 																					
Title	Annual			Start Date	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
Google Cloud Platform (Firebase)	 $ 9,000 			Jan-25	 $ 750 	 $ 750 	 $ 750 	 $ 2,250 	 $ 750 	 $ 750 	 $ 750 	 $ 2,250 	 $ 750 	 $ 750 	 $ 750 	 $ 2,250 	 $ 750 	 $ 750 	 $ 750 	 $ 2,250 	 $ 9,000 
Google Gemini API Credits	 $ 14,400 			Jan-25	 $ 1,200 	 $ 1,200 	 $ 1,200 	 $ 3,600 	 $ 1,200 	 $ 1,200 	 $ 1,200 	 $ 3,600 	 $ 1,200 	 $ 1,200 	 $ 1,200 	 $ 3,600 	 $ 1,200 	 $ 1,200 	 $ 1,200 	 $ 3,600 	 $ 14,400 
Multi-tenant Infrastructure	 $ 4,800 			Jan-25	 $ 400 	 $ 400 	 $ 400 	 $ 1,200 	 $ 400 	 $ 400 	 $ 400 	 $ 1,200 	 $ 400 	 $ 400 	 $ 400 	 $ 1,200 	 $ 400 	 $ 400 	 $ 400 	 $ 1,200 	 $ 4,800 
Domain & SSL	 $ 180 			Jan-25	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 180 
CDN (Cloudflare Business)	 $ 2,400 			Jan-25	 $ 200 	 $ 200 	 $ 200 	 $ 600 	 $ 200 	 $ 200 	 $ 200 	 $ 600 	 $ 200 	 $ 200 	 $ 200 	 $ 600 	 $ 200 	 $ 200 	 $ 200 	 $ 600 	 $ 2,400 
Error Monitoring (Sentry)	 $ 960 			Jan-25	 $ 80 	 $ 80 	 $ 80 	 $ 240 	 $ 80 	 $ 80 	 $ 80 	 $ 240 	 $ 80 	 $ 80 	 $ 80 	 $ 240 	 $ 80 	 $ 80 	 $ 80 	 $ 240 	 $ 960 
Analytics (Amplitude)	 $ 1,800 			Jan-25	 $ 150 	 $ 150 	 $ 150 	 $ 450 	 $ 150 	 $ 150 	 $ 150 	 $ 450 	 $ 150 	 $ 150 	 $ 150 	 $ 450 	 $ 150 	 $ 150 	 $ 150 	 $ 450 	 $ 1,800 
Total Infrastructure:	 $ 33,540 				 $ 2,795 	 $ 2,795 	 $ 2,795 	 $ 8,385 	 $ 2,795 	 $ 2,795 	 $ 2,795 	 $ 8,385 	 $ 2,795 	 $ 2,795 	 $ 2,795 	 $ 8,385 	 $ 2,795 	 $ 2,795 	 $ 2,795 	 $ 8,385 	 $ 33,540 
																					
																					
Software & Tools: 																					
Title	Annual			Start Date	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
GitHub Team	 $ 528 			Jan-25	 $ 44 	 $ 44 	 $ 44 	 $ 132 	 $ 44 	 $ 44 	 $ 44 	 $ 132 	 $ 44 	 $ 44 	 $ 44 	 $ 132 	 $ 44 	 $ 44 	 $ 44 	 $ 132 	 $ 528 
Figma Professional	 $ 180 			Jan-25	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 180 
Notion Team	 $ 120 			Jan-25	 $ 10 	 $ 10 	 $ 10 	 $ 30 	 $ 10 	 $ 10 	 $ 10 	 $ 30 	 $ 10 	 $ 10 	 $ 10 	 $ 30 	 $ 10 	 $ 10 	 $ 10 	 $ 30 	 $ 120 
Slack Pro	 $ 180 			Jan-25	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 180 
Linear	 $ 120 			Jan-25	 $ 10 	 $ 10 	 $ 10 	 $ 30 	 $ 10 	 $ 10 	 $ 10 	 $ 30 	 $ 10 	 $ 10 	 $ 10 	 $ 30 	 $ 10 	 $ 10 	 $ 10 	 $ 30 	 $ 120 
HubSpot CRM (Starter)	 $ 540 			Jan-25	 $ 45 	 $ 45 	 $ 45 	 $ 135 	 $ 45 	 $ 45 	 $ 45 	 $ 135 	 $ 45 	 $ 45 	 $ 45 	 $ 135 	 $ 45 	 $ 45 	 $ 45 	 $ 135 	 $ 540 
Calendly Pro	 $ 144 			Jan-25	 $ 12 	 $ 12 	 $ 12 	 $ 36 	 $ 12 	 $ 12 	 $ 12 	 $ 36 	 $ 12 	 $ 12 	 $ 12 	 $ 36 	 $ 12 	 $ 12 	 $ 12 	 $ 36 	 $ 144 
Total Software:	 $ 1,812 				 $ 151 	 $ 151 	 $ 151 	 $ 453 	 $ 151 	 $ 151 	 $ 151 	 $ 453 	 $ 151 	 $ 151 	 $ 151 	 $ 453 	 $ 151 	 $ 151 	 $ 151 	 $ 453 	 $ 1,812 
																					
																					
Legal & Administrative: 																					
Title	Annual			Start Date	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
Company Formation	 $ 1,500 			Jan-25	 $ 1,500 	 $ -   	 $ -   	 $ 1,500 	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ 1,500 
Legal Retainer	 $ 9,000 			Jan-25	 $ 750 	 $ 750 	 $ 750 	 $ 2,250 	 $ 750 	 $ 750 	 $ 750 	 $ 2,250 	 $ 750 	 $ 750 	 $ 750 	 $ 2,250 	 $ 750 	 $ 750 	 $ 750 	 $ 2,250 	 $ 9,000 
Accounting/Bookkeeping	 $ 4,800 			Jan-25	 $ 400 	 $ 400 	 $ 400 	 $ 1,200 	 $ 400 	 $ 400 	 $ 400 	 $ 1,200 	 $ 400 	 $ 400 	 $ 400 	 $ 1,200 	 $ 400 	 $ 400 	 $ 400 	 $ 1,200 	 $ 4,800 
Business Insurance	 $ 4,200 			Jan-25	 $ 350 	 $ 350 	 $ 350 	 $ 1,050 	 $ 350 	 $ 350 	 $ 350 	 $ 1,050 	 $ 350 	 $ 350 	 $ 350 	 $ 1,050 	 $ 350 	 $ 350 	 $ 350 	 $ 1,050 	 $ 4,200 
SOC 2 Type 1 Prep	 $ 15,000 			Jul-25	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ 2,500 	 $ 2,500 	 $ 2,500 	 $ 7,500 	 $ 2,500 	 $ 2,500 	 $ 2,500 	 $ 7,500 	 $ 15,000 
Total Legal/Admin:	 $ 34,500 				 $ 3,000 	 $ 1,500 	 $ 1,500 	 $ 6,000 	 $ 1,500 	 $ 1,500 	 $ 1,500 	 $ 4,500 	 $ 4,000 	 $ 4,000 	 $ 4,000 	 $ 12,000 	 $ 4,000 	 $ 4,000 	 $ 4,000 	 $ 12,000 	 $ 34,500 
																					
																					
Sales & Marketing:																					
Title	Annual			Start Date	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
Conference Attendance	 $ 15,000 			Mar-25	 $ -   	 $ -   	 $ 5,000 	 $ 5,000 	 $ -   	 $ 5,000 	 $ -   	 $ 5,000 	 $ -   	 $ -   	 $ 5,000 	 $ 5,000 	 $ -   	 $ -   	 $ -   	 $ -   	 $ 15,000 
Trade Show Booth	 $ 6,000 			Jun-25	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ 3,000 	 $ 3,000 	 $ -   	 $ -   	 $ 3,000 	 $ 3,000 	 $ -   	 $ -   	 $ -   	 $ -   	 $ 6,000 
Sales Collateral	 $ 8,000 			Feb-25	 $ -   	 $ 2,000 	 $ 2,000 	 $ 4,000 	 $ 1,000 	 $ 1,000 	 $ 1,000 	 $ 3,000 	 $ -   	 $ -   	 $ 500 	 $ 500 	 $ -   	 $ -   	 $ 500 	 $ 500 	 $ 8,000 
Digital Marketing (LinkedIn/Google)	 $ 18,000 			Apr-25	 $ -   	 $ -   	 $ -   	 $ -   	 $ 1,500 	 $ 1,500 	 $ 1,500 	 $ 4,500 	 $ 1,500 	 $ 1,500 	 $ 1,500 	 $ 4,500 	 $ 1,500 	 $ 1,500 	 $ 1,500 	 $ 4,500 	 $ 13,500 
Content Marketing	 $ 6,000 			Mar-25	 $ -   	 $ -   	 $ 500 	 $ 500 	 $ 500 	 $ 500 	 $ 500 	 $ 1,500 	 $ 500 	 $ 500 	 $ 500 	 $ 1,500 	 $ 500 	 $ 500 	 $ 500 	 $ 1,500 	 $ 5,000 
Total Marketing:	 $ 53,000 				 $ -   	 $ 2,000 	 $ 7,500 	 $ 9,500 	 $ 3,000 	 $ 8,000 	 $ 6,000 	 $ 17,000 	 $ 2,000 	 $ 2,000 	 $ 10,500 	 $ 14,500 	 $ 2,000 	 $ 2,000 	 $ 2,500 	 $ 6,500 	 $ 47,500 
																					
																					
Operational Costs:																					
Title	Annual			Start Date	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
Implementation Support	 $ 5,000 			Apr-25	 $ -   	 $ -   	 $ -   	 $ -   	 $ 500 	 $ 500 	 $ 500 	 $ 1,500 	 $ 500 	 $ 500 	 $ 500 	 $ 1,500 	 $ 500 	 $ 500 	 $ 500 	 $ 1,500 	 $ 4,500 
Training Materials	 $ 8,000 			Mar-25	 $ -   	 $ -   	 $ 2,000 	 $ 2,000 	 $ 1,500 	 $ 1,500 	 $ 1,500 	 $ 4,500 	 $ 500 	 $ -   	 $ 500 	 $ 1,000 	 $ -   	 $ -   	 $ 500 	 $ 500 	 $ 8,000 
API Integration Development	 $ 10,000 			Mar-25	 $ -   	 $ -   	 $ 2,500 	 $ 2,500 	 $ 2,500 	 $ 2,500 	 $ 2,500 	 $ 7,500 	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ 10,000 
FERPA/COPPA Compliance	 $ 5,000 			Feb-25	 $ -   	 $ 2,500 	 $ 2,500 	 $ 5,000 	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ 5,000 
Penetration Testing	 $ 4,000 			Jun-25	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ 4,000 	 $ 4,000 	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ 4,000 
Total Operational:	 $ 32,000 				 $ -   	 $ 2,500 	 $ 7,000 	 $ 9,500 	 $ 4,500 	 $ 4,500 	 $ 8,500 	 $ 17,500 	 $ 1,000 	 $ 500 	 $ 1,000 	 $ 2,500 	 $ 500 	 $ 500 	 $ 1,000 	 $ 2,000 	 $ 31,500 
																					
																					
Total Costs:																					
Title	Annual			Start Date	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
Total Fixed Costs 	 $ 389,852 				 $ 25,746 	 $ 26,246 	 $ 31,746 	 $ 83,738 	 $ 37,746 	 $ 42,746 	 $ 44,746 	 $ 125,238 	 $ 40,546 	 $ 40,046 	 $ 49,046 	 $ 129,638 	 $ 40,046 	 $ 40,046 	 $ 41,046 	 $ 121,138 	 $ 459,752 
Contingency (15%)					 $ 3,862 	 $ 3,937 	 $ 4,762 	 $ 12,561 	 $ 5,662 	 $ 6,412 	 $ 6,712 	 $ 18,786 	 $ 6,082 	 $ 6,007 	 $ 7,357 	 $ 19,446 	 $ 6,007 	 $ 6,007 	 $ 6,157 	 $ 18,171 	 $ 68,963 
TOTAL COSTS	 $ 448,330 				 $ 29,608 	 $ 30,183 	 $ 36,508 	 $ 96,299 	 $ 43,408 	 $ 49,158 	 $ 51,458 	 $ 144,024 	 $ 46,628 	 $ 46,053 	 $ 56,403 	 $ 149,084 	 $ 46,053 	 $ 46,053 	 $ 47,203 	 $ 139,309 	 $ 528,715 
																					
																					
Burn Rate Analysis:																					
Average Monthly Burn	 $ 44,060 																				
Cash Available (Capital)	 $ 450,000 																				
Months of Runway	10.2																				
Recommended Seed Round	 $ 450,000 																				
Notes	Includes 18-month runway + sales ramp																				

